Hours_Studied	Attendance	Access_to_Resources	Sleep_Hours	Previous_Scores	Tutoring_Sessions	Exam_Score												
17	75	Medium	8	81	3	67												
21	97	High	7	99	1	74												
29	62	Medium	8	74	1	66												
32	87	High	7	71	0	72												
32	96	Low	7	97	1	73												
27	92	Medium	6	62	0	73												
26	67	Medium	5	62	0	63												
24	72	Medium	7	95	3	69												
25	89	Low	6	82	2	71												
17	63	Medium	9	53	1	63												
15	92	High	5	84	0	69												
20	89	High	10	91	3	72												
19	89	Low	7	64	2	68												
17	64	High	7	69	1	62												
24	89	High	6	60	1	68												
26	87	Medium	8	82	1	71												
21	93	Low	7	83	1	67												
29	62	High	7	53	0	65												
13	61	Medium	8	84	1	60												
19	75	High	8	83	2	68												
16	66	Medium	9	52	1	59												
9	82	Medium	8	78	0	64												
20	97	Medium	6	81	2	71												
19	76	High	4	72	2	68												
29	94	Medium	7	95	2	70												
24	60	Low	7	66	1	62												
14	67	Medium	10	53	2	62												
31	61	Medium	7	84	2	68												
27	73	Medium	8	80	3	68												
23	96	Medium	8	99	3	74												
19	64	Medium	8	62	0	61												
14	84	Medium	8	70	1	67												
18	78	Low	6	73	1	65												
27	98	Medium	6	93	5	101												
31	65	Low	7	71	1	65												
29	68	Medium	4	89	0	67												
17	61	High	7	58	2	61												
13	77	Medium	6	70	3	64												
21	71	Low	7	58	1	64												
9	95	Medium	7	97	1	67												
22	84	Medium	5	59	0	69												
19	85	Medium	9	71	1	69												
17	81	Medium	7	54	4	67												
10	64	High	8	96	1	62												
23	78	High	7	81	0	66												
17	100	Medium	8	98	0	72												
13	93	Medium	5	52	2	67												
3	96	High	9	59	2	66												
20	93	Low	8	69	2	67												
31	64	Low	7	81	1	67												
30	69	Medium	7	66	0	68												
17	60	Medium	9	86	0	63												
16	72	High	6	58	1	62												
23	64	Medium	5	80	3	65												
14	79	Medium	6	70	1	65												
22	87	High	7	75	0	70												
25	95	Medium	7	78	7	73												
27	90	Medium	9	53	1	73												
19	98	Low	6	96	2	68												
19	62	Low	6	89	3	63												
15	60	Low	5	72	2	62												
15	86	Medium	8	77	0	69												
19	72	High	5	52	2	66												
22	70	High	8	75	0	68												
25	73	Medium	6	71	0	67												
15	71	High	6	69	2	65												
29	80	Medium	10	91	1	70												
18	78	Medium	9	59	0	64												
20	80	Low	7	59	2	65												
16	87	Medium	5	76	1	67												
5	75	Low	10	84	0	62												
25	70	Medium	7	51	3	66												
24	67	High	7	77	0	68												
18	74	Low	8	65	0	64												
20	90	Low	4	88	3	69												
23	90	Medium	6	73	1	69												
11	87	Medium	7	92	1	67												
17	69	Medium	7	70	0	61												
25	84	Medium	5	91	1	70												
12	83	Medium	7	86	1	65												
22	79	Medium	7	91	0	66												
12	82	Medium	10	91	3	66												
23	80	High	9	74	4	69												
20	83	Medium	7	68	1	67												
10	89	High	7	88	2	71												
27	64	High	9	68	1	68												
16	90	Medium	7	54	2	67												
15	65	Medium	5	93	2	63												
21	63	Medium	10	70	1	64												
27	99	Medium	6	57	3	73												
14	98	Medium	10	82	1	69												
20	62	Low	8	94	1	65												
23	78	Low	6	93	0	70												
24	67	Medium	4	78	1	67												
21	79	Low	8	54	3	67												
18	93	High	5	85	0	70												
15	98	Low	8	80	2	69												
21	85	Medium	10	61	2	68												
14	74	High	5	95	1	66												
2	84	High	8	54	3	62												
23	72	Medium	6	69	2	67												
25	96	Low	9	55	2	71												
6	95	Medium	7	96	4	68												
14	82	Medium	7	52	3	66												
24	73	Medium	9	71	0	64												
32	72	Medium	8	93	1	71												
20	61	Low	6	63	1	61												
16	93	High	10	55	2	67												
19	78	Low	5	56	3	65												
28	73	Medium	7	70	0	66												
16	79	High	6	71	2	68												
15	93	Medium	5	86	0	66												
17	65	Medium	5	62	2	63												
14	94	Low	7	85	1	66												
21	96	High	8	100	1	73												
30	98	Low	9	93	1	88												
22	76	Medium	9	82	0	67												
18	69	High	7	97	2	69												
18	75	Low	6	100	2	67												
11	73	High	9	79	1	64												
25	67	High	6	64	0	64												
20	84	Medium	5	96	1	65												
19	79	Medium	8	92	1	68												
39	95	High	9	54	2	77												
22	61	Medium	6	97	0	63												
15	86	High	10	68	0	69												
17	91	Medium	8	66	3	69												
27	90	Low	8	67	2	70												
21	95	Medium	6	66	1	73												
11	89	Low	9	76	1	66												
26	97	Low	5	79	2	71												
16	73	Low	6	71	2	66												
31	80	Medium	6	71	2	71												
26	61	Low	5	87	3	66												
17	60	High	8	50	0	63												
28	70	High	8	97	5	70												
20	64	Medium	8	86	1	66												
25	70	Medium	7	85	1	66												
23	67	Medium	8	71	2	66												
15	61	Medium	7	98	1	62												
16	96	Medium	6	50	1	69												
26	60	High	6	54	1	63												
18	89	Low	4	90	1	68												
18	66	High	9	87	1	64												
14	96	High	9	64	2	69												
23	96	Medium	10	80	3	71												
32	86	Medium	6	77	2	71												
14	87	Medium	6	76	1	66												
20	60	Medium	4	80	2	63												
28	99	Medium	8	100	0	72												
20	95	Medium	8	99	1	70												
23	96	Low	9	99	0	71												
14	86	Low	6	77	3	65												
23	74	Low	8	66	0	65												
19	96	Medium	6	78	1	67												
26	72	Medium	9	81	0	68												
27	83	Medium	8	66	3	70												
36	64	Medium	5	82	2	70												
23	97	High	7	81	2	72												
22	66	High	4	95	1	65												
21	69	Medium	5	62	2	65												
18	82	Medium	5	85	3	71												
22	91	High	6	73	3	74												
18	85	Medium	7	56	0	64												
21	69	Medium	7	66	1	64												
28	60	High	7	53	3	65												
14	90	Medium	7	66	1	67												
27	99	Medium	7	53	2	73												
28	92	High	5	96	1	72												
19	78	Medium	7	55	0	65												
7	96	High	9	91	0	67												
16	76	Medium	7	95	2	66												
28	81	Medium	8	73	0	70												
20	79	Medium	8	53	2	66												
14	78	High	8	80	1	66												
17	91	Low	7	62	3	68												
25	81	Medium	8	59	3	68												
23	73	High	8	78	0	67												
19	70	Medium	8	68	1	65												
18	62	Low	8	87	4	64												
18	83	Medium	5	80	1	70												
14	69	Medium	5	91	0	63												
30	66	High	6	53	2	65												
18	86	Medium	9	62	4	67												
27	87	Medium	7	78	3	71												
29	90	Medium	7	94	1	73												
26	80	Medium	4	91	1	67												
17	96	Medium	7	84	2	72												
22	97	Medium	7	79	2	71												
20	92	High	4	82	0	72												
15	85	High	7	61	1	68												
22	72	Low	5	80	2	65												
13	99	Medium	6	75	1	68												
27	71	Low	8	69	1	67												
17	68	Medium	7	94	1	66												
21	78	Low	6	91	0	64												
22	62	Medium	6	54	3	65												
18	99	Medium	6	99	0	69												
24	84	Medium	7	61	2	68												
17	82	High	5	61	3	69												
25	86	Medium	9	97	1	70												
12	80	Medium	5	72	1	65												
21	61	Medium	4	90	2	63												
32	84	Medium	8	64	1	71												
14	89	High	6	94	0	68												
16	77	Medium	7	92	5	70												
23	90	High	8	76	2	72												
21	69	Medium	6	85	3	64												
22	69	Medium	7	98	0	64												
23	66	Low	8	73	2	66												
24	75	High	9	75	0	69												
27	94	Low	6	86	2	71												
22	93	High	6	69	0	69												
19	75	Medium	8	98	1	67												
24	84	Medium	7	52	0	66												
31	89	Medium	7	70	2	71												
19	70	Low	9	86	2	63												
14	67	Low	4	71	0	62												
27	99	High	5	63	0	73												
19	85	Medium	4	71	1	66												
7	99	Medium	9	94	3	72												
25	74	Low	8	77	1	67												
17	88	Low	5	67	0	65												
19	69	Medium	7	84	2	66												
22	70	Medium	7	81	3	68												
21	80	High	4	78	1	69												
24	73	Medium	7	70	0	68												
17	67	High	5	54	0	61												
23	71	Low	8	81	3	68												
18	61	Low	5	71	3	64												
24	88	Low	7	71	1	67												
24	80	High	9	62	3	68												
14	64	High	8	62	1	61												
27	67	Low	8	89	1	66												
17	64	Low	7	74	2	64												
25	85	Medium	5	55	3	67												
22	64	High	6	52	2	64												
31	90	High	7	61	0	72												
19	61	Medium	7	74	2	62												
18	70	Medium	5	81	2	63												
20	96	High	8	57	1	70												
18	89	Medium	5	72	3	69												
25	63	Medium	9	54	3	64												
10	93	Medium	7	52	2	66												
14	80	Medium	8	93	3	67												
14	94	High	8	83	4	71												
26	84	High	10	89	0	70												
30	87	Medium	7	59	2	69												
19	100	Low	6	66	0	68												
19	69	High	6	72	1	64												
20	85	Medium	9	83	3	70												
27	78	Low	5	77	0	69												
14	62	Medium	6	78	0	63												
21	61	Medium	7	58	1	60												
26	65	Low	7	74	2	65												
23	86	Medium	8	91	0	67												
21	83	Low	5	75	1	66												
26	82	High	7	60	3	68												
4	61	High	7	71	0	58												
24	79	High	5	88	0	67												
16	97	Medium	8	57	0	68												
9	76	Medium	7	79	1	62												
23	85	High	7	98	2	69												
28	91	High	6	69	1	73												
19	91	Low	6	52	2	66												
26	81	Medium	5	82	0	67												
30	94	Medium	8	52	1	71												
28	76	Medium	9	60	1	66												
30	96	Medium	10	52	0	74												
24	70	High	8	59	2	67												
20	71	Medium	6	93	2	68												
10	62	Medium	6	87	2	61												
19	92	High	8	67	2	69												
15	77	Medium	7	95	4	65												
33	69	High	7	83	2	71												
19	69	Low	7	72	1	61												
21	96	High	9	53	0	70												
23	93	Low	6	87	2	70												
20	82	High	9	69	1	69												
30	85	Low	7	65	2	70												
16	79	Medium	6	64	4	67												
21	76	Medium	6	50	2	63												
16	97	Medium	7	87	1	70												
12	65	Medium	8	57	1	61												
16	77	High	6	76	1	64												
20	74	Medium	8	51	2	65												
17	80	Medium	6	81	1	65												
16	78	Low	7	68	3	66												
12	81	High	5	82	1	66												
20	66	Medium	8	54	2	63												
11	81	High	7	63	3	66												
25	70	Medium	9	56	0	64												
20	67	Low	8	82	3	65												
11	63	Medium	7	55	3	62												
18	91	High	9	81	4	71												
15	77	Medium	8	57	1	63												
22	85	High	9	97	0	70												
28	89	Low	6	71	2	70												
9	87	Medium	8	56	1	65												
21	79	High	8	52	1	66												
19	76	Low	5	66	2	66												
24	75	Low	9	95	0	68												
21	86	High	5	57	1	68												
15	80	Medium	5	90	4	69												
18	94	Medium	4	71	3	71												
15	95	Medium	8	90	2	69												
26	67	High	5	94	0	68												
20	65	High	6	100	2	67												
31	85	Medium	8	53	2	72												
20	72	Medium	7	90	2	68												
16	61	Medium	6	53	0	60												
11	96	High	5	66	2	68												
9	69	Medium	7	82	1	65												
10	97	High	8	72	0	67												
22	89	Medium	8	78	4	70												
23	91	Low	10	98	0	70												
11	68	Medium	6	91	3	61												
25	69	Low	5	68	2	68												
17	81	High	7	80	1	67												
21	67	High	7	52	3	62												
30	72	Low	7	73	0	66												
25	73	Medium	6	80	3	69												
18	66	High	4	86	2	66												
15	68	Medium	5	95	0	64												
7	92	Medium	8	64	1	66												
16	67	Medium	7	95	2	63												
19	61	High	8	83	1	62												
14	85	Medium	8	54	1	65												
19	99	High	8	69	0	68												
20	73	High	8	74	1	65												
19	65	High	7	68	1	63												
16	83	High	7	56	3	68												
21	96	High	4	78	2	72												
23	91	Low	6	57	2	69												
13	85	Medium	6	96	1	66												
28	73	Low	7	93	2	68												
19	82	Low	6	74	1	64												
20	64	Low	8	53	1	61												
24	87	Medium	6	78	0	67												
21	89	Low	9	80	0	68												
26	99	Medium	6	94	2	74												
22	70	High	6	53	3	67												
16	61	High	6	85	2	64												
22	82	High	6	78	3	69												
13	88	Medium	9	59	0	63												
21	92	Medium	7	56	0	67												
20	68	Medium	7	85	1	65												
19	70	Medium	6	67	5	67												
19	81	Medium	7	100	1	68												
9	73	Low	7	95	3	62												
17	94	Medium	7	78	1	70												
21	79	High	7	82	1	67												
21	92	High	9	58	2	89												
14	83	Medium	7	95	1	65												
28	91	Medium	5	73	2	69												
15	73	Medium	7	76	2	64												
26	93	Low	6	94	6	74												
23	71	High	8	50	0	64												
16	82	High	7	75	0	64												
31	69	Low	9	81	2	67												
13	79	Low	6	58	2	63												
26	73	Medium	7	53	3	68												
26	71	Medium	5	77	0	66												
16	99	High	7	77	0	68												
28	66	High	5	67	1	68												
18	91	Medium	7	94	3	69												
22	99	Low	7	65	3	71												
22	61	High	7	76	1	65												
19	88	Medium	8	59	2	67												
25	70	Medium	7	51	1	65												
25	62	Medium	5	71	0	65												
10	76	Low	6	76	1	80												
28	97	Medium	7	88	2	74												
10	60	Medium	7	72	3	59												
26	84	Medium	7	64	2	69												
27	80	Low	9	80	0	66												
13	95	Medium	7	69	1	66												
18	63	High	8	62	2	65												
13	87	Medium	4	96	3	67												
19	87	High	8	77	3	69												
18	87	Low	10	60	2	68												
25	98	Medium	9	84	1	73												
28	93	High	6	90	1	71												
28	62	Medium	10	88	0	67												
17	79	Medium	7	80	1	67												
19	76	Low	7	76	0	66												
10	72	Low	7	89	3	63												
15	78	High	7	85	1	65												
26	75	Low	4	79	2	67												
30	77	Low	8	83	1	69												
13	99	Medium	7	58	1	67												
16	64	Medium	7	51	4	66												
20	97	High	7	97	2	74												
22	79	Medium	6	97	2	69												
15	85	Medium	7	89	0	66												
23	93	Low	9	69	0	69												
17	74	Medium	8	58	1	63												
20	77	Low	7	68	0	65												
23	76	Medium	7	86	1	64												
20	75	Medium	7	67	0	64												
17	97	High	6	90	2	69												
19	93	High	7	84	5	73												
19	64	Medium	8	81	1	62												
18	64	Low	7	97	2	62												
18	77	Medium	6	95	0	68												
30	64	Medium	7	86	1	66												
23	85	High	8	60	2	68												
18	66	High	5	97	4	66												
24	81	Medium	6	61	3	69												
18	60	Medium	5	69	0	62												
27	73	Medium	7	91	2	68												
22	87	Medium	8	60	2	67												
19	79	Medium	9	82	1	65												
23	99	Medium	9	73	0	69												
11	95	Medium	6	81	2	67												
13	74	Low	7	98	0	64												
13	62	Medium	6	90	3	62												
21	94	Medium	9	65	5	71												
30	96	High	9	53	0	72												
33	93	High	7	98	0	74												
24	65	High	6	79	1	66												
23	100	Low	4	59	2	72												
9	70	Medium	5	81	1	65												
17	89	Medium	4	52	0	67												
15	96	High	5	59	2	70												
16	69	Medium	10	82	0	62												
19	96	Low	5	70	0	66												
17	72	Medium	5	66	2	65												
8	99	High	6	83	2	70												
24	71	High	10	93	2	69												
14	98	Medium	7	84	3	70												
21	62	High	8	73	2	66												
32	88	Low	7	83	1	73												
14	81	Medium	4	85	3	69												
5	79	High	9	89	3	66												
18	69	Medium	8	65	4	65												
27	88	Low	7	56	2	70												
32	68	High	10	84	0	70												
13	82	Medium	6	56	2	67												
23	70	High	7	73	1	68												
17	98	Low	6	62	1	68												
19	61	Medium	9	67	0	61												
36	68	Medium	8	74	2	70												
11	70	High	7	95	0	65												
22	77	Medium	5	84	3	66												
23	69	Medium	6	59	3	67												
27	80	Low	5	94	3	69												
21	95	High	9	75	1	69												
22	88	Medium	5	60	1	67												
18	83	Low	9	76	0	66												
22	64	Medium	9	60	1	63												
18	88	Medium	6	68	0	67												
24	67	Low	6	90	0	64												
18	91	Low	6	83	2	68												
22	70	High	8	74	2	65												
20	77	Low	9	61	2	65												
27	74	Low	9	64	1	65												
20	94	Medium	6	99	0	70												
9	65	High	9	67	1	62												
28	83	Low	9	81	0	68												
15	66	High	7	75	0	62												
16	88	High	7	51	0	68												
16	96	Medium	9	97	0	72												
28	77	Medium	9	54	1	70												
7	80	Medium	9	83	3	62												
39	97	High	10	91	2	79												
26	81	High	8	87	2	73												
21	80	High	7	90	1	68												
20	83	Medium	9	87	0	68												
22	88	Medium	10	72	2	69												
23	64	Low	6	95	1	63												
24	93	Medium	7	96	5	74												
23	77	Medium	5	72	2	69												
21	63	Low	8	74	0	61												
19	91	Low	8	74	4	69												
19	75	Low	6	64	2	64												
19	64	Medium	9	56	2	63												
27	85	High	6	63	1	68												
24	95	Medium	6	92	2	72												
2	96	High	9	77	3	65												
24	98	Low	6	93	2	69												
21	95	Low	5	87	2	70												
20	60	Medium	8	67	1	63												
18	75	Medium	7	59	0	62												
27	93	Medium	9	78	1	72												
26	75	High	8	97	1	69												
15	84	Medium	4	92	2	66												
22	84	Medium	9	88	2	71												
14	75	Low	10	88	2	62												
12	96	Low	9	76	2	68												
16	80	Low	9	58	0	63												
25	79	Medium	7	64	0	66												
26	100	Medium	6	79	1	75												
23	80	Low	7	66	1	69												
24	67	Medium	8	89	2	68												
23	81	Medium	8	69	5	69												
16	93	Low	6	56	2	67												
23	91	Medium	6	89	3	73												
25	92	High	5	85	1	71												
25	88	Medium	8	63	2	71												
27	70	Medium	6	99	2	68												
24	94	Low	7	70	1	70												
22	96	High	10	84	1	71												
26	68	High	8	96	1	69												
20	65	Medium	7	58	3	63												
15	99	Medium	8	94	2	71												
19	95	Medium	9	85	2	69												
16	96	Medium	5	58	2	71												
16	95	Low	6	83	2	68												
19	82	Medium	7	94	1	68												
15	86	Low	6	90	0	66												
18	82	Medium	7	88	3	67												
9	62	High	5	58	0	59												
21	90	Medium	8	60	1	66												
20	80	Low	6	77	0	64												
15	86	Medium	7	79	1	64												
24	80	High	7	97	0	69												
26	80	Low	8	73	1	69												
10	67	Medium	4	65	3	61												
15	71	High	8	60	0	62												
15	66	Medium	7	53	2	61												
14	68	Medium	8	53	1	63												
25	99	Low	5	79	2	71												
19	66	High	8	59	1	65												
18	71	High	9	93	1	68												
8	84	High	7	80	1	67												
24	84	High	6	93	2	70												
13	66	Medium	6	71	3	64												
20	92	High	8	80	0	71												
22	91	Medium	8	76	2	71												
28	69	High	8	99	0	67												
12	72	Low	7	90	0	63												
2	98	High	7	80	2	66												
21	93	Low	7	80	3	70												
31	88	Low	6	62	2	70												
27	63	Medium	8	87	3	67												
21	77	Medium	7	99	3	69												
17	82	Low	9	56	3	66												
25	67	High	9	82	1	67												
14	78	Medium	7	76	0	65												
23	84	High	8	93	1	72												
23	73	High	6	50	1	68												
26	91	Medium	7	57	3	72												
37	94	Medium	8	52	1	76												
22	73	Low	5	58	4	65												
17	94	Medium	8	85	1	68												
20	64	Medium	6	57	3	65												
9	94	Medium	6	81	0	66												
16	66	Medium	6	93	7	63												
18	63	Low	7	52	2	63												
17	86	Medium	5	51	2	66												
21	79	Low	8	99	2	69												
15	96	High	7	84	3	72												
27	75	Low	10	57	3	66												
20	71	Medium	7	65	2	64												
20	80	Low	8	99	0	67												
18	78	High	6	61	1	67												
21	74	Medium	5	88	1	66												
25	88	Low	8	62	2	68												
15	90	Medium	5	70	0	65												
16	94	High	8	94	2	71												
18	99	High	10	51	1	71												
12	71	Medium	8	65	1	62												
15	89	High	8	74	2	69												
17	76	Low	7	81	4	65												
25	87	Low	6	51	3	70												
22	79	Medium	7	71	2	66												
21	100	Medium	6	67	0	70												
25	89	High	5	51	2	70												
19	98	High	7	68	1	69												
22	93	Low	9	97	2	71												
19	96	Medium	5	64	1	69												
22	93	Medium	9	79	2	73												
17	78	Medium	9	65	1	65												
5	70	High	8	55	3	62												
19	75	High	8	64	2	67												
29	61	Medium	7	74	1	65												
26	81	Medium	7	65	1	65												
26	80	High	6	81	0	70												
27	81	Medium	7	97	1	70												
21	99	High	7	53	0	71												
21	96	Low	10	86	1	71												
16	66	Medium	8	50	1	62												
18	75	Low	7	50	4	65												
24	77	Medium	7	57	3	84												
27	74	Medium	6	74	2	68												
19	92	Medium	6	52	3	70												
17	81	High	8	86	1	68												
20	83	Medium	6	51	2	67												
24	94	Medium	6	75	1	69												
11	92	High	6	84	2	68												
6	65	High	6	62	3	59												
17	89	Low	9	79	0	67												
13	77	High	7	63	0	63												
17	72	High	7	61	1	65												
19	62	Medium	7	91	1	63												
17	79	Medium	7	67	1	64												
29	74	Medium	6	91	3	72												
22	70	Medium	5	61	1	63												
22	88	Medium	9	68	2	66												
24	91	Medium	8	55	0	67												
13	70	High	8	75	1	66												
26	62	Medium	8	69	2	66												
20	94	Medium	10	50	1	68												
24	60	High	6	73	1	66												
14	97	Medium	5	54	3	68												
11	85	Medium	8	92	2	65												
25	73	Medium	5	75	0	67												
22	70	Low	7	85	0	64												
15	60	High	7	91	0	59												
15	69	Medium	8	53	0	60												
27	66	High	6	67	1	65												
13	84	Medium	9	51	0	64												
30	67	High	6	52	1	66												
15	81	Medium	8	52	0	65												
24	84	Medium	6	74	2	69												
18	72	High	8	73	0	66												
24	61	Medium	5	53	1	65												
17	61	Medium	7	63	1	62												
19	61	Low	9	62	2	60												
20	90	Medium	7	65	4	68												
14	73	High	9	82	1	64												
24	92	High	7	85	0	73												
17	77	Medium	6	67	1	64												
19	78	High	7	89	2	69												
14	81	Medium	8	71	1	63												
5	89	Medium	4	76	2	65												
19	71	Medium	8	57	2	65												
34	65	Medium	6	62	0	67												
25	82	Medium	5	86	0	67												
20	73	Medium	8	99	1	66												
18	78	High	9	85	1	68												
20	86	Low	7	53	1	65												
23	80	Low	5	57	1	66												
13	85	Low	6	72	2	66												
27	82	Medium	6	87	2	69												
24	90	Medium	7	58	2	70												
24	88	Low	7	88	2	71												
23	81	Medium	8	78	4	70												
20	87	Medium	8	89	2	68												
24	95	High	8	78	2	73												
24	77	High	8	80	1	68												
18	77	Medium	7	62	2	66												
17	91	Low	10	86	1	67												
21	83	Low	8	92	2	66												
29	63	High	8	94	0	69												
13	96	Medium	10	51	1	67												
11	61	Low	7	81	5	61												
21	90	Medium	6	99	2	70												
20	90	High	9	79	2	70												
21	98	Medium	9	59	3	70												
21	62	Medium	7	94	1	64												
19	84	Medium	10	63	0	65												
29	77	Medium	7	52	5	70												
10	73	High	8	72	1	62												
15	64	High	9	55	1	64												
19	83	High	7	56	1	67												
10	79	Medium	8	73	1	63												
19	64	Medium	9	81	0	62												
30	84	Medium	6	95	2	72												
20	90	Medium	6	85	3	69												
21	91	High	9	92	5	72												
12	96	Medium	7	71	2	68												
16	76	Medium	6	66	1	64												
18	98	High	7	80	3	72												
18	95	High	8	85	2	73												
28	72	Medium	5	78	5	67												
23	66	Low	8	63	0	64												
13	77	Medium	8	68	3	65												
21	76	High	9	72	1	67												
23	83	Medium	7	51	3	68												
27	83	High	9	94	2	72												
29	90	Low	7	76	1	71												
14	80	Medium	7	88	1	66												
15	64	Medium	7	59	0	59												
12	94	Medium	10	78	1	68												
19	72	High	5	96	3	64												
23	99	Medium	8	61	2	70												
26	65	Medium	7	67	4	65												
20	98	Medium	7	69	2	72												
18	64	High	8	69	3	66												
21	69	Medium	9	80	2	68												
15	62	High	8	70	1	62												
33	88	Low	9	84	1	70												
10	94	Medium	7	74	3	70												
21	77	Low	7	58	0	64												
32	97	Low	5	97	1	76												
20	84	Medium	10	62	1	67												
19	85	High	7	78	2	69												
18	94	Low	7	53	4	68												
19	72	Medium	8	96	1	67												
28	74	Medium	9	96	0	69												
7	96	Medium	6	68	2	67												
29	96	High	9	56	0	73												
11	99	High	7	88	4	71												
18	96	Low	9	63	4	70												
17	65	Medium	6	85	1	65												
24	93	Medium	8	96	0	73												
10	76	Medium	7	80	1	65												
23	100	Medium	5	93	4	73												
32	79	High	5	61	0	70												
12	82	Medium	6	96	0	66												
21	81	Medium	8	61	3	66												
16	73	Medium	4	61	4	64												
23	63	Medium	8	94	2	68												
20	96	Medium	7	78	1	70												
16	92	Medium	4	90	6	72												
23	66	High	6	90	2	66												
31	91	Medium	6	82	2	74												
19	85	Medium	7	59	0	67												
24	76	High	9	85	2	71												
12	70	High	9	53	2	60												
14	94	Medium	6	60	3	68												
23	88	Medium	6	82	0	69												
29	82	High	5	95	2	74												
22	84	Medium	6	89	2	71												
18	64	Medium	6	67	0	63												
20	79	Low	7	91	2	66												
12	68	High	7	98	1	65												
24	68	Low	6	67	0	60												
25	86	Low	6	59	3	69												
17	96	Medium	6	60	1	69												
17	76	High	6	70	2	67												
22	68	Medium	9	53	1	65												
17	86	High	8	74	1	70												
20	95	Medium	8	87	0	71												
33	90	Medium	9	77	3	73												
19	95	High	8	99	0	70												
18	81	Low	9	73	1	67												
16	90	High	8	51	1	67												
24	66	High	7	74	0	65												
19	74	High	6	96	2	69												
16	76	High	6	55	1	65												
28	80	High	8	61	1	68												
29	97	Medium	7	86	0	74												
16	95	Medium	5	65	0	68												
9	65	Medium	4	88	1	61												
26	67	Low	10	71	3	67												
16	74	High	6	90	1	66												
25	72	Low	6	78	8	69												
8	85	Low	9	54	1	62												
25	96	High	5	69	0	71												
13	98	High	8	67	1	71												
24	86	High	10	91	0	72												
20	94	High	10	81	1	69												
14	81	Medium	6	89	6	67												
18	68	High	7	69	1	63												
24	81	Medium	6	85	1	68												
21	82	High	7	53	0	69												
24	90	Low	9	52	0	65												
32	69	High	5	64	0	70												
11	75	Medium	8	89	2	65												
30	75	Medium	7	77	0	67												
21	98	High	9	70	0	72												
15	78	High	9	95	1	69												
12	90	High	6	75	2	69												
19	90	Low	7	81	4	71												
26	71	Low	8	99	1	67												
19	83	Low	8	76	3	65												
29	96	Low	4	89	2	70												
11	79	Medium	8	71	1	63												
20	98	High	9	52	0	71												
12	69	Medium	7	92	1	64												
22	63	High	8	97	5	69												
25	96	Medium	9	72	0	69												
17	94	Medium	7	75	1	70												
4	100	Low	8	71	2	64												
21	87	High	7	100	1	70												
23	97	High	7	95	0	74												
22	93	Medium	6	52	1	69												
27	94	Medium	7	89	3	73												
14	83	Medium	10	80	1	66												
24	75	High	6	51	1	67												
27	97	High	8	72	6	76												
9	77	Medium	7	57	2	61												
22	82	Medium	9	94	0	68												
17	78	Low	9	51	1	63												
20	83	Low	6	94	1	67												
22	79	Low	6	97	3	66												
17	62	Low	6	54	2	62												
16	95	Low	6	86	0	69												
20	78	Medium	6	77	3	67												
13	84	Medium	8	98	2	66												
13	66	Medium	6	90	2	63												
24	60	Medium	6	85	1	64												
13	70	Medium	6	96	2	64												
24	88	Medium	8	58	1	67												
23	64	Medium	7	69	4	66												
10	96	High	7	92	1	68												
16	69	High	6	55	1	62												
27	68	Medium	5	97	1	68												
14	67	Low	9	87	1	63												
17	61	High	7	72	1	62												
23	91	High	10	67	2	72												
25	95	Low	8	57	4	69												
18	85	Low	10	55	3	67												
16	68	High	8	71	1	65												
29	71	Medium	7	92	1	69												
30	79	High	6	77	1	72												
26	98	Medium	6	73	2	70												
21	70	High	9	66	1	91												
15	89	Low	7	58	2	65												
15	78	Medium	8	100	0	62												
23	72	High	8	51	2	65												
23	78	Medium	8	66	1	67												
28	63	Low	6	88	4	67												
24	92	High	9	76	2	72												
11	70	Low	7	66	1	60												
26	89	Low	7	100	0	69												
14	63	Medium	8	81	0	61												
18	98	Medium	7	65	1	70												
22	68	High	4	92	2	68												
32	95	High	9	58	2	75												
39	92	Medium	9	73	1	75												
24	99	Medium	4	92	2	72												
19	79	Medium	5	99	1	66												
23	89	High	10	69	5	71												
25	75	High	7	57	4	70												
18	67	High	7	78	2	63												
31	78	High	6	97	0	72												
21	67	Medium	5	83	1	65												
23	99	Medium	7	80	3	71												
24	64	Medium	8	65	0	65												
23	84	Low	7	80	1	69												
25	85	Low	8	94	3	71												
16	82	High	10	69	2	68												
17	86	Medium	6	62	2	66												
13	65	Medium	7	74	0	60												
23	82	Medium	9	69	0	68												
25	71	High	6	73	1	67												
23	98	Low	7	55	3	71												
30	90	Medium	10	67	2	74												
20	99	Medium	6	91	2	70												
24	62	High	9	70	2	63												
13	71	Medium	7	98	0	64												
18	68	High	10	85	3	66												
24	60	Medium	5	68	0	64												
25	70	High	7	63	1	69												
18	87	High	5	84	2	71												
20	69	Medium	6	65	1	64												
11	80	Medium	6	96	1	65												
18	96	Medium	7	56	2	69												
25	88	High	5	51	1	68												
23	76	Medium	7	61	3	68												
23	75	Medium	8	80	0	68												
20	78	Medium	5	92	1	65												
20	67	High	6	59	1	65												
16	85	Low	10	79	1	66												
24	75	Low	7	57	0	66												
23	94	Low	4	78	2	71												
23	90	Medium	5	51	0	68												
17	84	Medium	7	78	0	65												
7	75	High	7	76	0	63												
27	68	Medium	6	52	1	66												
17	91	Low	10	84	7	71												
15	79	Medium	10	79	2	65												
24	69	High	7	81	3	68												
18	68	Medium	8	76	2	66												
26	67	High	8	86	2	64												
24	91	Low	9	76	1	70												
